Date,Open,High,Low,Close,Volume
22-07-2020 10:00,9320.35,9349.71,9316.47,9345.81,203.27
22-07-2020 11:00,9343.82,9360.93,9335.17,9350,143.96
22-07-2020 12:00,9353.12,9353.13,9322.48,9336.82,104.59
22-07-2020 13:00,9333,9342.08,9329.26,9334.51,191.6
22-07-2020 14:00,9334.25,9346.07,9318.04,9343.38,433.13
22-07-2020 15:00,9343.6,9358.98,9336.34,9341.29,422.63
22-07-2020 16:00,9341.29,9352.69,9334.83,9335.18,269.98
22-07-2020 17:00,9339.53,9377.79,9336.45,9371.28,246.18
22-07-2020 18:00,9366.29,9383.42,9361.56,9374.53,198.24
22-07-2020 19:00,9374.53,9393.2,9364.79,9379.03,203.16
22-07-2020 20:00,9380.07,9390.56,9371.78,9375.14,252.42
22-07-2020 21:00,9373.97,9384.55,9366.68,9384.55,100.9
22-07-2020 22:00,9384.55,9573,9372.17,9513,1105.8
22-07-2020 23:00,9513.86,9553.06,9513.77,9539.51,398.76
23-07-2020 00:00,9537.23,9550.36,9525,9525.66,346.08
23-07-2020 01:00,9525.17,9553.03,9514.76,9539.22,190.25
23-07-2020 02:00,9538.74,9553.78,9510,9512.74,292.3
23-07-2020 03:00,9512.33,9517.17,9485.28,9509.72,142.17
23-07-2020 04:00,9507.97,9517.15,9502.22,9511.01,136.15
23-07-2020 05:00,9512.4,9515.01,9479.59,9499.37,355.26
23-07-2020 06:00,9500,9517.5,9495.15,9510.11,232.18
23-07-2020 07:00,9505.98,9519.47,9500,9501.04,169.01
23-07-2020 08:00,9503.07,9542.34,9490,9533.51,334.17
23-07-2020 09:00,9529.03,9529.03,9502.36,9512.62,327.35
23-07-2020 10:00,9512.62,9523.75,9500,9502.91,284.1
23-07-2020 11:00,9500.58,9522.08,9495.95,9513.48,487.77
23-07-2020 12:00,9513.47,9525.84,9491,9492.09,399.95
23-07-2020 13:00,9492,9510.33,9485.06,9503.47,890.42
23-07-2020 14:00,9503.47,9598,9453.38,9503.49,1093.02
23-07-2020 15:00,9506.82,9564.36,9489.25,9536.81,896.59
23-07-2020 16:00,9536.79,9640.14,9523.35,9631.6,687.04
23-07-2020 17:00,9631.94,9690,9603.05,9621.82,1288.42
23-07-2020 18:00,9621.89,9634.36,9576.75,9587.72,727.73
23-07-2020 19:00,9587.12,9608.34,9581.3,9607.06,307.61
23-07-2020 20:00,9608.34,9609,9576.32,9593.54,371.13
23-07-2020 21:00,9593.33,9627,9579.99,9623.75,207.76
23-07-2020 22:00,9617.97,9624.79,9601.22,9606.45,118.87
23-07-2020 23:00,9607.57,9621.6,9595.46,9617.2,128.6
24-07-2020 00:00,9614.85,9621.28,9581.77,9592.96,147.2
24-07-2020 01:00,9592.82,9603.65,9564.21,9585.04,70.16
24-07-2020 02:00,9579.65,9592.27,9565.26,9581.5,84.94
24-07-2020 03:00,9577.36,9588.57,9539,9565.99,162.17
24-07-2020 04:00,9565.68,9578.55,9539,9541.95,161.65
24-07-2020 05:00,9540,9559.53,9516.01,9555.44,251.52
24-07-2020 06:00,9555.44,9558.9,9478,9480,349.03
24-07-2020 07:00,9478,9519.47,9474.35,9519.22,317.29
